Numéro d'inscription	Prénom	Nom de famille	Adresse électronique	Date de naissance	Adresse 1	Adresse 2	Ville	État province région	Pays	Code postal	Heure d'inscription	Sexe	Nationalite	numberrange	numberrange1	numberrange2
R-AL1-02LH2EF7R	Tamekah	Lavigne	nunc.sollicitudin@hotmail.org	1962-02-05	P.O. Box 819 2963 Diam Rd.	tempor diam	Mexico City	Champagne-Ardenne Alsace	FR	62546	2024-04-16 18:35	FEMALE	FRA	1	0	1
R-AL1-02PE3MF4L	Ferdinand	Tremblay	sem.eget.massa@outlook.com	2001-05-22	Ap #163-9991 Aliquet. Rd.	in cursus	Wonju	Pays de la Loire Limousin	FR	51486	2023-02-22 10:58	MALE	FRA	0	0	0
R-AL1-03IV2LY6G	Athena	Mckay	elementum@outlook.com	1980-05-26	Ap #136-1492 Donec Street	nunc. Quisque	Whitehorse	Lorraine Aquitaine	FR	77780	2023-06-14 05:10	FEMALE	FRA	1	1	0
R-AL1-04GB8IV8C	Ima	Cousineau	molestie.sed@google.com	1982-03-11	1362 Dignissim Av.	scelerisque	Ong	Franche-Comté Bourgogne	FR	33246	2024-02-09 09:47	FEMALE	FRA	1	1	0
R-AL1-04NQ8UE3O	Graiden	Kloet	metus@icloud.org	1943-07-27	Ap #913-5618 Eu St.	amet	Emalahleni	Île-de-France Centre	FR	53144	2022-07-06 16:31	MALE	FRA	0	1	1
R-AL1-111111111	Graiden	Kloet	metus@icloud.org	1943-07-27	Ap #913-5618 Eu St.	amet	Emalahleni	Île-de-France Centre	FR	53144	2022-07-06 16:31	MALE	FRA	0	1	1
R-AL1-08KN1GQ1A	May	Park	non.leo.vivamus@yahoo.org	2010-03-22	Ap #583-5031 Sit Street	Nunc	Uddevalla	Île-de-France Poitou-Charentes	FR	56835	2024-03-11 15:34	FEMALE	FRA	0	0	1
R-AL1-12UX1FE9H	Boris	Van Aalsburg	nisi@aol.com	2003-10-01	P.O. Box 518 9992 Accumsan Ave	sodales. Mauris	Wanneroo	Auvergne Languedoc-Roussillon	FR	77250	2023-04-20 02:13	FEMALE	FRA	0	1	0
R-AL1-14BA1QV1E	Dylan	Klein	in.at@protonmail.net	1973-10-15	2843 Non Street	velit egestas	Coatzacoalcos	Nord-Pas-de-Calais Alsace	FR	59234	2024-03-06 10:37	FEMALE	FRA	0	0	1
R-AL1-16DP7DC3H	Dieter	Gibson	consectetuer@protonmail.com	1934-12-14	986-5539 Velit. St.	commodo	Kufstein	Basse-Normandie Bourgogne	FR	68427	2023-04-04 06:17	MALE	FRA	0	1	1
R-AL1-17HL4YI6M	Omar	Wood	id.enim@outlook.org	2009-10-27	Ap #295-1158 Dapibus Ave	libero.	Uiwang	Bourgogne Picardie	FR	95997	2022-10-15 06:53	FEMALE	FRA	0	0	1
R-AL1-17NG3LB7P	Flavia	Boivin	aliquet.libero.integer@hotmail.org	2020-05-11	9515 Odio Rd.	Phasellus ornare.	Bắc Giang	Lorraine Bretagne	FR	64084	2023-01-02 06:35	FEMALE	FRA	1	1	1
R-AL1-18KC3GM3S	Deacon	Collins	ut@hotmail.org	1918-11-02	758-7965 Morbi Ave	Donec	Pondicherry	Auvergne Auvergne	FR	11478	2023-10-23 05:00	MALE	FRA	0	1	0
R-AL1-18MV5DY0O	Felix	Plamondon	curae.phasellus@hotmail.couk	1995-10-12	272-933 Sed Rd.	arcu. Sed	Mattersburg	Pays de la Loire Poitou-Charentes	FR	54576	2022-07-18 06:32	MALE	FRA	0	0	1
R-AL1-18WL6YH0C	Medge	Aakster	ac@google.net	1963-08-14	177-6184 Semper Ave	Proin	Panjim	Aquitaine Bourgogne	FR	56686	2024-01-06 06:03	MALE	FRA	1	1	0
R-AL1-19EB7ZK6G	Harper	Hunter	tristique@icloud.net	2000-04-08	P.O. Box 205 2199 Lectus Rd.	vulputate mauris	Jabbeke	Corse Alsace	FR	68686	2023-12-22 11:42	FEMALE	FRA	0	1	1
R-AL1-20FR5SB7Z	Ross	Poulin	pellentesque.tellus.sem@icloud.couk	1952-05-27	Ap #766-179 Duis Rd.	magna. Sed	Torrevieja	Lorraine Midi-Pyrénées	FR	64062	2024-04-30 10:20	FEMALE	FRA	0	0	0
R-AL1-25IU8ZD8V	Damon	Geelen	accumsan.laoreet.ipsum@outlook.com	2001-12-10	4349 Imperdiet Rd.	augue porttitor	Épernay	Bretagne Alsace	FR	72017	2023-07-08 04:35	FEMALE	FRA	1	1	0
R-AL1-25LQ8DT2N	Sierra	Boucher	magna.cras@icloud.couk	1928-10-02	381-3239 Consectetuer Avenue	nulla ante 	Aurillac	Bretagne Provence-Alpes-Côte d'Azur	FR	43226	2023-10-29 02:43	MALE	FRA	1	0	0
R-AL1-26NI2BF4K	Dylan	Kerr	dis.parturient@hotmail.edu	2017-06-19	795-7779 Vulputate Street	risus varius	Bollnäs	Poitou-Charentes Languedoc-Roussillon	FR	56387	2023-11-25 15:51	MALE	FRA	1	1	1
R-AL1-27PH5CW9B	Mira	Arsenault	donec.sollicitudin@yahoo.net	1922-07-29	123-4147 Pede. Street	nonummy ultricies	Manado	Alsace Champagne-Ardenne	FR	97313	2022-09-21 03:55	FEMALE	FRA	1	1	1
R-AL1-27WO4VQ5B	Kasimir	Lewis	vel.arcu@icloud.net	1965-09-15	P.O. Box 511 9454 Interdum Road	Vivamus	Palopo	Bretagne Provence-Alpes-Côte d'Azur	FR	31735	2024-04-13 08:07	MALE	FRA	0	1	0
R-AL1-28PQ3CK0S	Adria	Maes	semper@google.net	1953-12-31	Ap #521-2244 Sed St.	tortor dictum	Harrisburg	Lorraine Alsace	FR	92294	2022-09-30 00:05	FEMALE	FRA	1	0	0
R-AL1-29IB9KJ2G	Ainsley	Chan	commodo@protonmail.net	1980-05-16	286 Est. St.	massa.	Vienna	Basse-Normandie Champagne-Ardenne	FR	06986	2023-04-12 12:18	FEMALE	FRA	0	1	0
R-AL1-31FX2WD2B	Oren	Beauchene	scelerisque.lorem.ipsum@icloud.ca	2007-06-04	4235 Consectetuer Street	ac nulla.	Knittelfeld	Bourgogne Haute-Normandie	FR	07472	2022-09-25 12:47	MALE	FRA	1	1	0
R-AL1-32AS3YT0A	Dora	Rademaker	in@google.net	1949-04-23	Ap #210-8219 Leo. Av.	sed	Belfast	Île-de-France Poitou-Charentes	FR	22547	2022-10-30 11:57	FEMALE	FRA	0	0	0
R-AL1-32OB6DO6K	Jeanette	Achterberg	senectus.et@hotmail.com	1977-02-02	719 Ornare Street	sapien gravida	Sabadell	Bretagne Midi-Pyrénées	FR	56858	2024-03-19 14:29	MALE	FRA	1	0	0
R-AL1-32UP6VR3J	Hillary	Armstrong	varius.et.euismod@aol.couk	1946-09-19	P.O. Box 199 8004 Lectus Street	massa. Vestibulum	Halkirk	Corse Champagne-Ardenne	FR	62256	2023-09-09 02:43	MALE	FRA	1	1	1
R-AL1-33DO4QE7L	Lev	Dion	arcu.ac@protonmail.ca	1955-12-23	847-7678 Nisl Av.	eleifend	Shimla	Bourgogne Bretagne	FR	60357	2022-07-02 07:23	MALE	FRA	1	0	1
R-AL1-36OF8DX1V	Brandon	Charbonneau	nulla.cras.eu@google.couk	1951-10-16	P.O. Box 512 5589 Vulputate Rd. nec 	Tauranga	Poitou-Charentes	Île-de-France	FR	28881	2023-05-17 15:54	MALE	FRA	0	1	1
R-AL1-36PI1PR9C	Lysandra	Crawford	molestie.arcu@google.org	1935-12-31	636-2083 Lobortis St.	elit fermentum	Iquitos	Basse-Normandie Limousin	FR	28130	2023-01-26 19:15	FEMALE	FRA	0	1	0
R-AL1-37BD0CY2A	Mariko	Adams	duis@protonmail.ca	2018-12-19	5798 Sed Rd.	metus.	Goes	Nord-Pas-de-Calais Bourgogne	FR	63352	2023-06-10 09:30	FEMALE	FRA	1	1	1
